event_id,dataset_role,repeat,evaluation_wall_us,gqsc_generation_us,exact_validation_us,final_ranking_us,lifecycle_us,fallback_us,callback_total_us,pair_proxy_count,reconstruction_count,validator_count,outcome
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,0,9128.8050000000003,5235.4449999999997,3860.4530000000004,5.5469999999999997,571.07299999999998,0,9702.0049999999992,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,9013.9220000000005,5118.1850000000004,3864.0070000000005,5.8650000000000002,588.476,0,9604.6419999999998,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,2,9122.9189999999999,5200.3219999999992,3889.9939999999997,5.3319999999999999,588.12900000000002,0,9713.3500000000004,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,3,9017.1409999999996,5111.8640000000005,3873.4079999999999,5.4690000000000003,577.94899999999996,0,9597.1919999999991,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,4,8959.3580000000002,5125.0210000000006,3802.223,5.3289999999999997,584.51499999999999,0,9545.7900000000009,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,5,9033.2520000000004,5151.5559999999996,3851.8029999999999,4.9320000000000004,572.68499999999995,0,9607.9030000000002,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,6,9013.4210000000003,5122.1449999999995,3861.1480000000001,5.4480000000000004,573.23800000000006,0,9588.8690000000006,128,12,10,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,0,11766.460999999999,6353.1850000000004,5379.7380000000003,5.8120000000000003,769.83399999999995,0,12538.752,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,11798.043,6373.3389999999999,5391.9009999999998,5.7869999999999999,754.99400000000003,0,12555.288,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,2,11692.463,6400.6180000000004,5257.8849999999993,6.0759999999999996,766.75300000000004,0,12461.164000000001,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,3,11769.434999999999,6364.049,5372.6210000000001,5.5970000000000004,772.471,0,12543.986000000001,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,4,11726.652,6385.9810000000007,5306.1629999999996,6.1159999999999997,762.82500000000005,0,12491.731,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,5,11755.057000000001,6383.820999999999,5337.8470000000007,5.7329999999999997,771.49599999999998,0,12528.732,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,6,11691.195,6360.1889999999994,5298.7939999999999,5.7270000000000003,780.25099999999998,0,12473.599,128,12,11,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,0,15614.557000000001,7705.8079999999991,7870.7890000000007,11.007999999999999,1253.5239999999999,0,16870.418000000001,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,15606.089,7679.1009999999997,7887.3170000000009,11.800000000000001,1254.655,0,16862.971000000001,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,2,15613.929,7713.3109999999988,7861.5820000000003,11.542,1262.884,0,16879.050999999999,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,3,15526.465,7684.607,7800.6460000000006,13.731999999999999,1260.289,0,16788.878000000001,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,4,15591.545,7689.5570000000007,7860.6819999999998,13.425000000000001,1264.384,0,16858.273000000001,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,5,15614.361999999999,7682.1580000000022,7890.3909999999987,13.9,1275.7380000000001,0,16892.475999999999,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,6,15607.933000000001,7706.7290000000003,7859.9820000000009,13.73,1272.03,0,16882.133999999998,128,12,12,FRESH_SELECTED
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,0,13043.98,8026.8030000000008,4988.3810000000003,0.186,0,42692.029999999999,55738.148000000001,128,12,12,NO_SAFE_PATH
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,1,13050.891,8022.4089999999997,5000.8010000000004,0.317,0,42692.300999999999,55745.192999999999,128,12,12,NO_SAFE_PATH
V2E04,PILOT_SEEN_DEVELOPMENT_DATA,2,13064.647000000001,8041.4999999999991,4993.2910000000002,0.33900000000000002,0,42808.669000000002,55875.087,128,12,12,NO_SAFE_PATH
