development_event_id,variant,request_count,constructed_path_count,unique_path_digest_count,duplicate_path_count,duplicate_path_rate,maximum_path_digest_multiplicity,duplicate_hard_valid_count
DVE001,BASELINE_PRODUCTION,2,2,2,0,0.0,1,0
DVE001,A_EXISTING_D_MID_POOL,2,2,2,0,0.0,1,0
DVE001,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,3,3,3,0,0.0,1,0
DVE001,B_CROSS_PAIR_TRANSITIONS,2,2,2,0,0.0,1,0
DVE001,AB_EXISTING_FACTOR_BASIS,2,2,2,0,0.0,1,0
DVE001,AB_DEV_COUNTERFACTUAL,4,4,4,0,0.0,1,0
DVE001,FULL_LxT_DEV_UPPER_BOUND,1430,1430,1430,0,0.0,1,0
DVE002,BASELINE_PRODUCTION,2,2,1,1,0.5,2,0
DVE002,A_EXISTING_D_MID_POOL,2,2,1,1,0.5,2,0
DVE002,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,2,2,1,1,0.5,2,0
DVE002,B_CROSS_PAIR_TRANSITIONS,2,2,1,1,0.5,2,0
DVE002,AB_EXISTING_FACTOR_BASIS,2,2,1,1,0.5,2,0
DVE002,AB_DEV_COUNTERFACTUAL,2,2,1,1,0.5,2,0
DVE002,FULL_LxT_DEV_UPPER_BOUND,68,68,34,34,0.5,2,33
DVE003,BASELINE_PRODUCTION,3,3,3,0,0.0,1,0
DVE003,A_EXISTING_D_MID_POOL,5,5,5,0,0.0,1,0
DVE003,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,3,3,3,0,0.0,1,0
DVE003,B_CROSS_PAIR_TRANSITIONS,4,4,4,0,0.0,1,0
DVE003,AB_EXISTING_FACTOR_BASIS,6,6,6,0,0.0,1,0
DVE003,AB_DEV_COUNTERFACTUAL,4,4,4,0,0.0,1,0
DVE003,FULL_LxT_DEV_UPPER_BOUND,4,4,4,0,0.0,1,0
DVE004,BASELINE_PRODUCTION,1,1,1,0,0.0,1,0
DVE004,A_EXISTING_D_MID_POOL,1,1,1,0,0.0,1,0
DVE004,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,1,1,1,0,0.0,1,0
DVE004,B_CROSS_PAIR_TRANSITIONS,1,1,1,0,0.0,1,0
DVE004,AB_EXISTING_FACTOR_BASIS,1,1,1,0,0.0,1,0
DVE004,AB_DEV_COUNTERFACTUAL,1,1,1,0,0.0,1,0
DVE004,FULL_LxT_DEV_UPPER_BOUND,6,6,6,0,0.0,1,0
DVE005,BASELINE_PRODUCTION,7,7,7,0,0.0,1,0
DVE005,A_EXISTING_D_MID_POOL,7,7,7,0,0.0,1,0
DVE005,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,7,7,7,0,0.0,1,0
DVE005,B_CROSS_PAIR_TRANSITIONS,18,18,18,0,0.0,1,0
DVE005,AB_EXISTING_FACTOR_BASIS,18,18,18,0,0.0,1,0
DVE005,AB_DEV_COUNTERFACTUAL,18,18,18,0,0.0,1,0
DVE005,FULL_LxT_DEV_UPPER_BOUND,42,42,42,0,0.0,1,0
DVE006,BASELINE_PRODUCTION,2,2,2,0,0.0,1,0
DVE006,A_EXISTING_D_MID_POOL,2,2,2,0,0.0,1,0
DVE006,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,4,4,4,0,0.0,1,0
DVE006,B_CROSS_PAIR_TRANSITIONS,2,2,2,0,0.0,1,0
DVE006,AB_EXISTING_FACTOR_BASIS,2,2,2,0,0.0,1,0
DVE006,AB_DEV_COUNTERFACTUAL,4,4,4,0,0.0,1,0
DVE006,FULL_LxT_DEV_UPPER_BOUND,748,748,747,1,0.001336898395721925,2,1
DVE007,BASELINE_PRODUCTION,1,1,1,0,0.0,1,0
DVE007,A_EXISTING_D_MID_POOL,1,1,1,0,0.0,1,0
DVE007,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,1,1,1,0,0.0,1,0
DVE007,B_CROSS_PAIR_TRANSITIONS,1,1,1,0,0.0,1,0
DVE007,AB_EXISTING_FACTOR_BASIS,1,1,1,0,0.0,1,0
DVE007,AB_DEV_COUNTERFACTUAL,1,1,1,0,0.0,1,0
DVE007,FULL_LxT_DEV_UPPER_BOUND,3,3,3,0,0.0,1,0
DVE008,BASELINE_PRODUCTION,2,2,1,1,0.5,2,0
DVE008,A_EXISTING_D_MID_POOL,2,2,1,1,0.5,2,0
DVE008,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,2,2,1,1,0.5,2,0
DVE008,B_CROSS_PAIR_TRANSITIONS,2,2,1,1,0.5,2,0
DVE008,AB_EXISTING_FACTOR_BASIS,2,2,1,1,0.5,2,0
DVE008,AB_DEV_COUNTERFACTUAL,2,2,1,1,0.5,2,0
DVE008,FULL_LxT_DEV_UPPER_BOUND,2,2,1,1,0.5,2,0
DVE009,BASELINE_PRODUCTION,3,3,2,1,0.3333333333333333,2,0
DVE009,A_EXISTING_D_MID_POOL,5,5,3,2,0.4,2,0
DVE009,A_UNCOUPLE_D_MID_DEV_COUNTERFACTUAL,3,3,2,1,0.3333333333333333,2,0
DVE009,B_CROSS_PAIR_TRANSITIONS,6,6,4,2,0.3333333333333333,2,0
