event_id,dataset_role,repeat,evaluation_wall_ms,gqsc_generation_ms,exact_validation_ms,final_ranking_ms,lifecycle_ms,fallback_ms,callback_total_ms,new_gqsc_evaluations,same_input_cache_reuses,safe_stop_escape_evaluations,pair_proxy_count,reconstruction_count,validator_count,outcome
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,0,9.399535,5.261685000000001,4.101074,0.00643,0.6095069999999999,0.0,10.011848,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,9.35846,5.207662,4.117402,0.005947,0.578273,0.0,9.938879,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,2,9.293147999999999,5.198106999999999,4.06255,0.005429000000000001,0.5834790000000001,0.0,9.878986999999999,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,3,9.533074000000001,5.371192000000001,4.124286,0.006784,0.595067,0.0,10.131620999999999,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,4,9.399609,5.227291,4.135442,0.006365999999999999,0.57638,0.0,9.978549000000001,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,5,9.320529,5.161323,4.125205,0.005677,0.596409,0.0,9.919262,1,0,0,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,6,9.373676,5.18459,4.156731000000001,0.005745,0.576945,0.0,9.953023,1,0,0,128,12,10,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,0,13.986372,7.267245,6.683482000000001,0.006123,0.78442,0.0,14.78782,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,13.968566999999998,7.296387000000001,6.637019,0.0063360000000000005,0.766768,0.0,14.737803,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,2,13.963282999999999,7.307052999999999,6.621255,0.0060279999999999995,0.761049,0.0,14.726736,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,3,13.922836,7.250957,6.637037,0.005837,0.7858999999999999,0.0,14.710896,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,4,13.963876,7.277025999999999,6.65324,0.005971,0.784584,0.0,14.750745,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,5,13.959911,7.273109,6.652082999999999,0.005957,0.7809389999999999,0.0,14.743174000000002,1,0,0,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,6,14.019048000000002,7.287196,6.6966410000000005,0.006155,0.7593970000000001,0.0,14.780736000000001,1,0,0,128,12,11,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,0,16.586236,8.118941,8.432931,0.005768,1.2761859999999998,0.0,17.86528,1,0,0,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,1,16.594575,8.145503,8.415704999999999,0.005736,1.27449,0.0,17.885707,1,0,0,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,2,16.601891,8.119387,8.448574,0.00575,1.266559,0.0,17.885968000000002,1,0,0,128,12,12,FRESH_SELECTED
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,3,16.543894,8.117061000000001,8.393132,0.005207,1.28218,0.0,17.828249,1,0,0,128,12,12,FRESH_SELECTED
