# v_mps,ax_max_mps2,ay_max_mps2
# 2026-08-27 결선 설정. 컨트롤러 max_lateral_accel 8.5 / base_max_accel 5.5 와 한 묶음.
#  ay 8.2 : 8.5 를 넘겨 넣어도 컨트롤러 그립캡 sqrt(8.5/k) 가 8.5 로 잘라내므로 랩타임으로
#           돌아오지 않고 vx_mps 만 거짓이 된다(0826 실측: forza 코너의 75% 에서 캡이 구속).
#           8.2 = 관측 최대 지속 a_lat 9.42 대비 마진 + 보정예산 +19%.
#  ax     : 0826 20시대 실측 가속 p99 5.58. 구 3.0(8+ m/s)은 실측의 54% 로 과소평가였다.
#           듀티 max 0.59 / 전류 max 63 A 라 전압·전류 여유는 남아 있다.
0.0,5.2,8.2
1.0,5.2,8.2
2.0,5.2,8.2
3.0,5.2,8.2
4.0,5.2,8.2
5.0,5.2,8.2
6.0,5.1,8.2
7.0,5.0,8.2
8.0,5.0,8.2
9.0,5.0,8.2
10.0,5.0,8.2
