event_id,dataset_role,bag,source_kind,legacy_hard_valid,legacy_usable_valid,legacy_selected_digest,teacher_hard_valid,teacher_usable_valid,standalone_hard_valid,standalone_usable_valid,teacher_selected_digest,standalone_selected_digest,selected_digest_exact,teacher_vs_legacy_selected_digest_exact,standalone_vs_legacy_selected_digest_exact,teacher_hard_candidate_count,standalone_hard_candidate_count,hard_candidate_digest_intersection,hard_candidate_digest_union,teacher_usable_candidate_count,standalone_usable_candidate_count,usable_candidate_digest_intersection,usable_candidate_digest_union,teacher_reconstructions,teacher_validators,standalone_reconstructions,standalone_validators
VUE021,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,12
VUE022,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,11
VUE023,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,46694de0feb73ab9,f274578ba525e6e8,0,0,0,6,10,1,15,6,10,1,15,12,6,12,10
VUE024,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,a9af489c299d4fe1,f77c9862d84a366d,0,0,0,8,11,0,19,8,11,0,19,12,11,12,11
VUE025,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,90d5749d559fb39c,90d5749d559fb39c,1,0,0,1,1,1,1,1,1,1,1,12,10,12,10
VUE026,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,ceaed33058212144,3c2c2e8b167ff096,0,0,0,2,1,1,2,2,1,1,2,12,12,12,9
VUE027,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,d54c29b3b77176ad,d54c29b3b77176ad,1,0,0,8,8,8,8,8,8,8,8,12,9,12,8
VUE028,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,c5befcfebed2d72d,c5befcfebed2d72d,1,0,0,10,9,6,13,10,9,6,13,12,11,12,10
VUE029,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,10
VUE030,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,b8731f9e01f2fd83,b8731f9e01f2fd83,1,0,0,9,8,7,10,9,8,7,10,12,11,12,10
VUE031,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
VUE032,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,411e0416cb3c31b9,411e0416cb3c31b9,1,0,0,2,4,2,4,2,4,2,4,12,11,12,11
VUE033,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,19709597790c3383,eadbb561675718b7,0,0,0,4,2,1,5,4,2,1,5,12,10,12,11
VUE034,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,8cb5c2f8b7c61be0,4a1d8e165d26386b,0,0,0,10,5,3,12,10,5,3,12,12,10,12,11
VUE035,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,11
VUE036,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,f518c26be9229c24,e16d216d4ddd2d23,0,0,0,1,6,0,7,1,6,0,7,12,12,12,10
VUE037,VALIDATION_SEEN_AFTER_V1,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,12,12,12
SCE001,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,1,d9d23404d663942d,1,1,1,1,3179118708318950,a190d346d1dceee2,0,0,0,11,12,0,23,11,12,0,23,12,11,12,12
SCE002,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,1,d8755f76f270feba,1,1,1,1,ab2a6e55926ea336,6252cf62c59fbf1b,0,0,0,10,10,0,20,10,10,0,20,12,11,12,11
SCE003,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,0,ca12d99729f10d84,1,1,1,1,a5071d76383f35ea,fe720e33f9f57ef4,0,0,0,9,12,0,21,1,1,0,2,12,10,12,12
SCE004,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,1,6f083f28fdccfd41,1,1,1,1,b51475b220a6aee7,f5175dc0b94f8197,0,0,0,10,11,0,21,10,11,0,21,12,10,12,11
SCE005,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,1,3d31c4c5eac6c042,1,1,1,1,bf76993f313b9901,87602a80513d644a,0,0,0,10,12,3,19,10,12,3,19,12,11,12,12
SCE006,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,LEGACY_SUCCESS_CONTROL,1,1,d96df603ea031f4c,1,1,1,1,744a3652ee2346e7,6bc657c12b2f57d1,0,0,0,11,12,0,23,10,11,0,21,12,12,12,12
SCE007,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,1,9a31c3bebb8cb06a,1,1,1,1,7571137ff3479ae5,ef186819bb103426,0,0,0,8,6,1,13,4,4,1,7,12,12,12,12
SCE008,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,0,4f6c3c15a0d151a0,1,0,0,0,ab2b34f3f403f802,NONE,0,0,0,3,0,0,3,0,0,0,0,12,10,12,10
SCE009,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,1,88bc845606133104,1,1,1,1,f03004c2439562e9,584a0ec9c1414856,0,0,0,4,6,0,10,4,6,0,10,12,10,12,11
SCE010,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,1,1d495bf3a3b40011,1,1,1,1,2f45445205943557,0fcc29c91ebe70b9,0,0,0,10,10,4,16,10,10,4,16,12,11,12,11
SCE011,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,1,6fe2f85a25f7122c,1,1,1,1,f238e433d073e122,1b84ec996100cb52,0,0,0,5,6,0,11,5,6,0,11,12,11,12,11
SCE012,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,LEGACY_SUCCESS_CONTROL,1,1,f66f519b83d696c3,1,1,1,1,3fdf143bb6ca3303,2f5ee152645aac1a,0,0,0,10,10,4,16,10,10,4,16,12,11,12,11
